seat_no,seat,district,division,region,seat_areas
290,Chittagong-13,Chittagong,Chittagong,Rural,Anwara Upazila and Karnaphuli Upazila
291,Chittagong-14,Chittagong,Chittagong,Rural,"Chandanaish Upazila and The following unions under Saatkania Upazila: a) Keochiya, b) Kaliaish, c) Bajalia, d) Dharmapur, e) Puranagar and f) Khagria"
292,Chittagong-15,Chittagong,Chittagong,Rural,"Lohagora Upazila and Saatkania Upazila except the following unions: a) Keochiya, b) Kaliaish, c) Bajalia, d) Dharmapur, e) Puranagar and f) Khagria"
293,Chittagong-16,Chittagong,Chittagong,Rural,Banshkhali Upazila
294,Cox's Bazar-1,Cox's Bazar,Chittagong,Rural,Chakaria Upazila and Pekua Upazila
295,Cox's Bazar-2,Cox's Bazar,Chittagong,Rural,Kutubdiya Upazila and Maheshkhali Upazila
296,Cox's Bazar-3,Cox's Bazar,Chittagong,Urban,Cox's Bazar Sadar Upazila and Ramu Upazila
297,Cox's Bazar-4,Cox's Bazar,Chittagong,Rural,Ukhiya Upazila and Teknaf Upazila
298,Khagrachari,Khagrachari,Chittagong,Rural,Mahalchhari Lakshmichhari Khagrachhari Dighinala Panchhari Maatiranga Manikchhari Laxmichhari Ramgarh and Guimara
299,Rangamati,Rangamati,Chittagong,Rural,Rangamati Hill Tracts district
300,Bandarban,Bandarban,Chittagong,Rural,Bandarban Hill Tracts district
