seat,year,turnout,turnout_pc,voters,male_voters,female_voters,centers
Bagerhat-1,1991,128668,59.8,,,,
Bagerhat-2,1991,127664,61.3,,,,
Bagerhat-3,1991,99223,56.6,,,,
Barguna-1,1991,110705,45.3,,,,
Barguna-2,1991,69037,54.1,,,,
Barisal-1,1991,117021,60.6,,,,
Barisal-2,1991,109981,45.8,,,,
Barisal-3,1991,80487,37.7,,,,
Barisal-4,1991,73104,37.7,,,,
Barisal-5,1991,119194,47.9,,,,
Barisal-6,1991,103838,45.8,,,,
Bhola-1,1991,98003,47.7,,,,
Bhola-2,1991,79807,30.2,,,,
Bhola-3,1991,82216,41.7,,,,
Bhola-4,1991,71877,34.5,,,,
Bogra-1,1991,135195,52.1,,,,
Bogra-2,1991,100009,58.6,,,,
Bogra-3,1991,117406,68,,,,
Bogra-4,1991,120165,69.5,,,,
Bogra-5,1991,173861,62.1,,,,
Bogra-6,1991,176032,64.4,,,,
Bogra-7,1991,125379,66.8,,,,
Brahmanbaria-1,1991,90490,64.8,,,,
Brahmanbaria-2,1991,116643,53.4,,,,
Brahmanbaria-3,1991,176406,54.8,,,,
Brahmanbaria-4,1991,117432,50.4,,,,
Brahmanbaria-5,1991,144936,50,,,,
Brahmanbaria-6,1991,99258,55.8,,,,
Chandpur-1,1991,83848,46.5,,,,
Chandpur-2,1991,94050,47.3,,,,
Chandpur-3,1991,86536,43.5,,,,
Chandpur-4,1991,105101,43.5,,,,
Chandpur-5,1991,119372,44.2,,,,
Chapai Nawabganj-1,1991,174929,76.9,,,,
Chapai Nawabganj-3,1991,165042,71.1,,,,
Chittagong-1,1991,127810,60,,,,
Chittagong-10,1991,110351,51.8,,,,
Chittagong-11,1991,110343,59,,,,
Chittagong-12,1991,90451,47.7,,,,
Chittagong-13,1991,87563,56.7,,,,
Chittagong-14,1991,136150,49.5,,,,
Chittagong-15,1991,92319,48.4,,,,
Chittagong-2,1991,80394,58.2,,,,
Chittagong-3,1991,85647,51.2,,,,
Chittagong-4,1991,109790,43.7,,,,
Chittagong-5,1991,101780,52.3,,,,
Chittagong-6,1991,90019,47.5,,,,
Chittagong-7,1991,85923,54,,,,
Chittagong-8,1991,133148,56,,,,
Chittagong-9,1991,110140,49.4,,,,
Chuadanga-1,1991,159748,68.6,,,,
Chuadanga-2,1991,135671,64,,,,
Comilla-1,1991,97158,47.8,,,,
Comilla-10,1991,101838,42,,,,
Comilla-11,1991,61177,38.3,,,,
Comilla-2,1991,99950,41,,,,
Comilla-3,1991,130853,47.9,,,,
Comilla-4,1991,92503,42.2,,,,
Comilla-5,1991,108350,43.7,,,,
Comilla-6,1991,76541,50,,,,
Comilla-7,1991,93899,52.8,,,,
Comilla-8,1991,97128,55,,,,
Comilla-9,1991,91006,55,,,,
Cox's Bazar-1,1991,108368,51.3,,,,
Cox's Bazar-2,1991,81906,48.2,,,,
Cox's Bazar-3,1991,106322,53,,,,
Cox's Bazar-4,1991,75642,53,,,,
Dhaka-1,1991,90739,60.7,,,,
Dhaka-10,1991,77991,48.2,,,,
Dhaka-11,1991,116546,48.3,,,,
Dhaka-12,1991,121686,59.3,,,,
Dhaka-2,1991,89406,57.4,,,,
Dhaka-3,1991,169799,58.7,,,,
Dhaka-4,1991,117714,41.8,,,,
Dhaka-5,1991,138445,47.7,,,,
Dhaka-6,1991,109074,51,,,,
Dhaka-7,1991,135194,58.1,,,,
Dhaka-8,1991,95466,47.5,,,,
Dhaka-9,1991,92700,50.3,,,,
Dinajpur-1,1991,116359,63.9,,,,
Dinajpur-2,1991,123925,71.4,,,,
Dinajpur-3,1991,118556,63,,,,
Dinajpur-4,1991,123856,64.4,,,,
Dinajpur-5,1991,144100,62.9,,,,
Dinajpur-6,1991,153375,58.2,,,,
Faridpur-1,1991,160609,57,,,,
Faridpur-2,1991,97115,56.6,,,,
Faridpur-3,1991,132838,65.4,,,,
Faridpur-4,1991,87254,51.2,,,,
Feni-1,1991,94103,45.4,,,,
Feni-2,1991,111305,40.3,,,,
Feni-3,1991,89516,42.6,,,,
Gaibandha-1,1991,104727,46.3,,,,
Gaibandha-2,1991,120594,58.85,204906,,,
Gaibandha-3,1991,138258,55.4,,,,
Gaibandha-4,1991,124488,55.4,,,,
Gaibandha-5,1991,110024,52.7,,,,
Gazipur-2,1991,179551,61.8,,,,
Gazipur-3,1991,102884,65.9,,,,
Gazipur-4,1991,104764,59.9,,,,
Gopalganj-1,1991,121756,52.7,,,,
Gopalganj-2,1991,122731,48.2,,,,
Gopalganj-3,1991,94109,56,,,,
Habiganj-1,1991,107316,45.4,,,,
Habiganj-2,1991,106402,54.8,,,,
Habiganj-3,1991,93749,47.4,,,,
Habiganj-4,1991,148488,55.2,,,,
Jamalpur-1,1991,85097,38.2,,,,
Jamalpur-2,1991,81514,46.8,,,,
Jamalpur-3,1991,122714,44.7,,,,
Jamalpur-4,1991,82941,54,,,,
Jamalpur-5,1991,145264,48.8,,,,
Jessore-1,1991,98134,74.3,,,,
Jessore-2,1991,165068,72.2,,,,
Jessore-3,1991,176507,69,,,,
Jessore-4,1991,160598,70.3,,,,
Jessore-5,1991,139975,71.6,,,,
Jessore-6,1991,82679,74.5,,,,
Jhalokati-1,1991,69360,43.2,,,,
Jhalokati-2,1991,119882,44.2,,,,
Jhenaidah-1,1991,129651,71.8,,,,
Jhenaidah-2,1991,160747,66,,,,
Jhenaidah-3,1991,140546,74,,,,
Jhenaidah-4,1991,111848,69.2,,,,
Joypurhat-1,1991,155518,66.7,,,,
Joypurhat-2,1991,118282,64.6,,,,
Khulna-1,1991,94004,66.3,,,,
Khulna-2,1991,93519,50.9,,,,
Khulna-3,1991,96424,56.9,,,,
Khulna-4,1991,119689,58.3,,,,
Khulna-5,1991,145905,71.3,,,,
Khulna-6,1991,144084,68.3,,,,
Kishoreganj-1,1991,100259,47.7,,,,
Kishoreganj-4,1991,107304,49.4,,,,
Kishoreganj-5,1991,114386,51.3,,,,
Kishoreganj-6,1991,104720,58.1,,,,
Kurigram-1,1991,119756,46.1,,,,
Kurigram-2,1991,139762,50.5,,,,
Kurigram-3,1991,86544,43.5,,,,
Kurigram-4,1991,75272,40.9,,,,
Kushtia-1,1991,148472,72.4,,,,
Kushtia-2,1991,141672,60.4,,,,
Kushtia-3,1991,147578,68.6,,,,
Kushtia-4,1991,150688,68.9,,,,
Lakshmipur-1,1991,60963,37.6,,,,
Lakshmipur-2,1991,72147,29.4,,,,
Lakshmipur-4,1991,78216,40.5,,,,
Lalmonirhat-1,1991,111066,60.2,,,,
Lalmonirhat-2,1991,111791,55.1,,,,
Lalmonirhat-3,1991,84939,59,,,,
Madaripur-1,1991,104069,47.1,,,,
Madaripur-2,1991,132526,50.9,,,,
Madaripur-3,1991,111893,48.5,,,,
Magura-1,1991,150453,72.6,,,,
Magura-2,1991,139958,68.1,,,,
Manikganj-1,1991,99419,55.8,,,,
Manikganj-2,1991,120976,67.6,,,,
Manikganj-3,1991,126045,63.6,,,,
Meherpur-1,1991,112405,75.9,,,,
Meherpur-2,1991,94529,74.1,,,,
Moulvibazar-1,1991,73052,60.6,,,,
Moulvibazar-2,1991,115906,61.3,,,,
Moulvibazar-3,1991,132961,50.9,,,,
Moulvibazar-4,1991,146138,59.8,,,,
Munshiganj-1,1991,122255,58.9,,,,
Munshiganj-2,1991,118540,54.8,,,,
Mymensingh-1,1991,74319,52.1,,,,
Mymensingh-10,1991,125613,56.9,,,,
Mymensingh-11,1991,87643,55.7,,,,
Mymensingh-2,1991,92633,39.5,,,,
Mymensingh-3,1991,85814,49.9,,,,
Mymensingh-4,1991,127316,48.5,,,,
Mymensingh-5,1991,81329,45.3,,,,
Mymensingh-6,1991,83432,43,,,,
Mymensingh-7,1991,88869,47.7,,,,
Mymensingh-8,1991,73784,45,,,,
Mymensingh-9,1991,80389,41.6,,,,
Naogaon-2,1991,129067,70.2,,,,
Naogaon-3,1991,169265,71.6,,,,
Naogaon-4,1991,120154,72.9,,,,
Naogaon-5,1991,135297,73.5,,,,
Naogaon-6,1991,132969,73.9,,,,
Narail-1,1991,102758,55.2,,,,
Narail-2,1991,132120,60,,,,
Narayanganj-2,1991,112326,67,,,,
Narayanganj-4,1991,135342,52.4,,,,
Narayanganj-5,1991,126819,56.1,,,,
Narsingdi-1,1991,137284,57.8,,,,
Narsingdi-2,1991,90565,65.8,,,,
Narsingdi-3,1991,87791,62.5,,,,
Narsingdi-4,1991,133606,58.3,,,,
Narsingdi-5,1991,161892,57.9,,,,
Natore-1,1991,137712,78.6,,,,
Natore-2,1991,134735,73.6,,,,
Natore-3,1991,105942,69.5,,,,
Natore-4,1991,153351,72.9,,,,
Netrokona-1,1991,103111,48.9,,,,
Netrokona-2,1991,118888,52.1,,,,
Netrokona-3,1991,116777,49.4,,,,
Netrokona-4,1991,121146,57,,,,
Nilphamari-1,1991,129067,61.7,,,,
Nilphamari-2,1991,105098,62.9,,,,
Nilphamari-3,1991,111464,58.7,,,,
Nilphamari-4,1991,102609,51.6,,,,
Noakhali-1,1991,67000,33.2,,,,
Noakhali-2,1991,129986,35,,,,
Noakhali-3,1991,51189,38,,,,
Noakhali-4,1991,92099,33.3,,,,
Noakhali-5,1991,87290,35.3,,,,
Noakhali-6,1991,63655,42.9,,,,
Pabna-1,1991,151158,65.4,,,,
Pabna-2,1991,121840,58.6,,,,
Pabna-3,1991,167943,68.5,,,,
Pabna-4,1991,143643,68.8,,,,
Pabna-5,1991,159751,59.8,,,,
Panchagarh-1,1991,123699,62.1,199181,,,
Panchagarh-2,1991,108146,60.4,,,,
Patuakhali-1,1991,111553,36.7,,,,
Patuakhali-2,1991,88516,41.7,,,,
Patuakhali-3,1991,94983,38.8,,,,
Patuakhali-4,1991,77398,49.6,,,,
Pirojpur-1,1991,121702,52.3,,,,
Pirojpur-2,1991,65469,45.3,,,,
Pirojpur-3,1991,73917,47.9,,,,
Rajbari-1,1991,116030,62.1,,,,
Rajshahi-1,1991,144382,74.3,,,,
Rajshahi-2,1991,186689,74.3,,,,
Rajshahi-3,1991,154380,68.8,,,,
Rajshahi-4,1991,123841,76.8,,,,
Rajshahi-5,1991,130305,76.5,,,,
Rangpur-1,1991,88547,54.3,,,,
Rangpur-2,1991,110647,59.2,,,,
Rangpur-3,1991,127997,60.5,,,,
Rangpur-4,1991,160754,66.9,,,,
Rangpur-5,1991,141557,61.3,,,,
Rangpur-6,1991,91766,55.4,,,,
Satkhira-1,1991,184250,75.4,,,,
Satkhira-2,1991,117951,69.3,,,,
Satkhira-3,1991,95570,67.9,,,,
Satkhira-4,1991,130173,75.2,,,,
Shariatpur-1,1991,115058,47.8,,,,
Shariatpur-2,1991,71402,43.3,,,,
Shariatpur-3,1991,142297,53,,,,
Sherpur-1,1991,113941,50,,,,
Sherpur-2,1991,114560,55.4,,,,
Sherpur-3,1991,100706,45.8,,,,
Sirajganj-1,1991,78853,41.2,,,,
Sirajganj-2,1991,142726,55.9,,,,
Sirajganj-3,1991,120882,58.7,,,,
Sirajganj-5,1991,115218,52.5,,,,
Sunamganj-1,1991,119533,47.9,,,,
Sunamganj-2,1991,100294,63.4,,,,
Sunamganj-3,1991,86121,43,,,,
Sunamganj-4,1991,92587,56.2,,,,
Sunamganj-5,1991,123041,49.6,,,,
Sylhet-1,1991,117054,40.3,,,,
Sylhet-2,1991,97265,39.3,,,,
Sylhet-3,1991,87076,51.7,,,,
Sylhet-4,1991,53831,35,,,,
Sylhet-5,1991,90593,43.9,,,,
Sylhet-6,1991,125908,48.3,,,,
Tangail-1,1991,97440,52.8,,,,
Tangail-2,1991,146182,57.2,,,,
Tangail-3,1991,119769,60.2,,,,
Tangail-4,1991,133355,64.2,,,,
Tangail-5,1991,192851,57.9,,,,
Tangail-6,1991,84582,50.3,,,,
Tangail-7,1991,118502,58.5,,,,
Tangail-8,1991,129740,54.8,,,,
Thakurgaon-1,1991,120165,69.5,,,,
Thakurgaon-2,1991,96489,65.5,,,,
Thakurgaon-3,1991,118927,69,,,,
Dhaka-11,1993,167119,60.3,,,,
Bagerhat-1,1996,150617,82.8,,,,
Bagerhat-2,1996,146309,82,,,,
Bagerhat-3,1996,118888,76.8,,,,
Barguna-1,1996,115246,65.9,,,,
Barguna-2,1996,80535,75.1,,,,
Barisal-1,1996,116175,77.2,,,,
Barisal-2,1996,120035,69.4,,,,
Barisal-3,1996,97028,71.7,,,,
Barisal-4,1996,93952,72.3,,,,
Barisal-5,1996,154749,73.7,,,,
Barisal-6,1996,100519,68.2,,,,
Bhola-1,1996,111793,66.2,,,,
Bhola-2,1996,96477,62.2,,,,
Bhola-3,1996,120120,70.8,,,,
Bhola-4,1996,115627,66.2,,,,
Bogra-1,1996,146394,72,,,,
Bogra-2,1996,144122,80.6,,,,
Bogra-3,1996,148855,85.8,,,,
Bogra-4,1996,149951,82.5,,,,
Bogra-5,1996,228879,80.8,,,,
Bogra-6,1996,232075,78.2,,,,
Bogra-7,1996,149021,79.5,,,,
Brahmanbaria-1,1996,91556,75.6,,,,
Brahmanbaria-2,1996,141740,77.2,,,,
Brahmanbaria-3,1996,221637,77,,,,
Brahmanbaria-4,1996,132400,76,,,,
Brahmanbaria-5,1996,131992,68.7,,,,
Brahmanbaria-6,1996,100298,76.1,,,,
Chandpur-1,1996,98378,69.3,,,,
Chandpur-2,1996,112296,72,,,,
Chandpur-3,1996,99481,68.3,,,,
Chandpur-4,1996,127993,66.6,,,,
Chandpur-5,1996,151584,71.9,,,,
Chapai Nawabganj-1,1996,200730,86.1,,,,
Chapai Nawabganj-3,1996,179046,82.8,,,,
Chittagong-1,1996,114740,66.4,,,,
Chittagong-1,1996,137702,78.5,,,,
Chittagong-10,1996,174676,73.7,,,,
Chittagong-11,1996,116575,73.9,,,,
Chittagong-12,1996,111620,70.4,,,,
Chittagong-13,1996,100794,77.7,,,,
Chittagong-14,1996,157355,70.5,,,,
Chittagong-15,1996,119575,67.7,,,,
Chittagong-2,1996,104635,76.6,,,,
Chittagong-3,1996,79653,65.3,,,,
Chittagong-4,1996,137954,70,,,,
Chittagong-5,1996,120254,69.9,,,,
Chittagong-6,1996,95597,66.7,,,,
Chittagong-7,1996,94271,69.4,,,,
Chittagong-8,1996,247377,70.4,,,,
Chittagong-9,1996,203372,66.8,,,,
Chuadanga-1,1996,215684,84.6,,,,
Chuadanga-2,1996,194211,85.3,,,,
Comilla-1,1996,101351,62.1,,,,
Comilla-10,1996,134495,72.2,,,,
Comilla-11,1996,76877,58.7,,,,
Comilla-2,1996,157237,67.6,,,,
Comilla-3,1996,157423,75.6,,,,
Comilla-4,1996,126873,73.3,,,,
Comilla-5,1996,131417,70.8,,,,
Comilla-6,1996,97421,73.1,,,,
Comilla-7,1996,111391,72.6,,,,
Comilla-8,1996,116699,68.5,,,,
Comilla-9,1996,111535,75.2,,,,
Cox's Bazar-1,1996,157026,74.2,,,,
Cox's Bazar-2,1996,109025,69.9,,,,
Cox's Bazar-3,1996,159451,74.8,,,,
Cox's Bazar-4,1996,100955,69.2,,,,
Dhaka-1,1996,69420,80,,,,
Dhaka-10,1996,157095,65.7,,,,
Dhaka-11,1996,270507,66.7,,,,
Dhaka-12,1996,159203,74.9,,,,
Dhaka-2,1996,108184,79.6,,,,
Dhaka-3,1996,207128,75.3,,,,
Dhaka-4,1996,218502,65.9,,,,
Dhaka-5,1996,278939,68.4,,,,
Dhaka-6,1996,231317,67,,,,
Dhaka-7,1996,193760,72.6,,,,
Dhaka-8,1996,157106,69.8,,,,
Dhaka-9,1996,190011,66.5,,,,
Dinajpur-1,1996,143893,75.8,,,,
Dinajpur-2,1996,143016,81.1,,,,
Dinajpur-3,1996,152285,78.8,,,,
Dinajpur-4,1996,145254,75,,,,
Dinajpur-5,1996,177285,77.4,,,,
Dinajpur-6,1996,206620,77.9,,,,
Faridpur-1,1996,196735,82.6,,,,
Faridpur-2,1996,119366,76.8,,,,
Faridpur-3,1996,154335,82.8,,,,
Faridpur-4,1996,94196,74,,,,
Feni-1,1996,117152,74.5,,,,
Feni-2,1996,153359,72.2,,,,
Feni-3,1996,112232,67.3,,,,
Gaibandha-1,1996,129564,67.4,,,,
Gaibandha-3,1996,176090,71.3,,,,
Gaibandha-4,1996,173220,74.5,,,,
Gaibandha-5,1996,134105,72.4,,,,
Gazipur-2,1996,256187,75.9,,,,
Gazipur-3,1996,94627,83.2,,,,
Gazipur-4,1996,117749,78.9,,,,
Gopalganj-1,1996,137553,73.4,,,,
Gopalganj-2,1996,133275,75.1,,,,
Gopalganj-3,1996,111397,79.8,,,,
Habiganj-1,1996,138270,68,,,,
Habiganj-2,1996,112970,64,,,,
Habiganj-2,1996,128555,72.9,,,,
Habiganj-3,1996,129379,71.2,,,,
Habiganj-4,1996,189312,75.3,,,,
Jamalpur-1,1996,132475,68.6,,,,
Jamalpur-2,1996,96018,67.5,,,,
Jamalpur-3,1996,161038,63.9,,,,
Jamalpur-4,1996,123113,74.8,,,,
Jamalpur-5,1996,216371,76.2,,,,
Jessore-1,1996,123167,85.7,,,,
Jessore-2,1996,203159,88,,,,
Jessore-3,1996,233230,81.4,,,,
Jessore-4,1996,190565,84,,,,
Jessore-5,1996,165410,85.1,,,,
Jessore-6,1996,100720,85.1,,,,
Jhalokati-1,1996,82071,72.9,,,,
Jhalokati-2,1996,127038,74.8,,,,
Jhenaidah-1,1996,153340,87.6,,,,
Jhenaidah-2,1996,205282,84.4,,,,
Jhenaidah-3,1996,176655,88.8,,,,
Jhenaidah-4,1996,132569,80.8,,,,
Joypurhat-1,1996,210400,83.6,,,,
Joypurhat-2,1996,160455,83.3,,,,
Khulna-1,1996,116426,80.4,,,,
Khulna-2,1996,139285,82.1,,,,
Khulna-3,1996,118555,78,,,,
Khulna-4,1996,148540,78.8,,,,
Khulna-5,1996,169494,84.6,,,,
Khulna-6,1996,173339,82.9,,,,
Kishoreganj-1,1996,135288,72.1,,,,
Kishoreganj-4,1996,140314,71.9,,,,
Kishoreganj-5,1996,146272,75.3,,,,
Kishoreganj-6,1996,123851,76.7,,,,
Kurigram-1,1996,167293,66.9,,,,
Kurigram-2,1996,191232,72.6,,,,
Kurigram-3,1996,105007,58.1,,,,
Kurigram-3,1996,112194,62.1,,,,
Kurigram-4,1996,105621,65.2,,,,
Kushtia-1,1996,169893,88.7,,,,
Kushtia-2,1996,194740,84.9,,,,
Kushtia-3,1996,183262,84.3,,,,
Kushtia-4,1996,170852,84.4,,,,
Lakshmipur-1,1996,65063,59.4,,,,
Lakshmipur-2,1996,114327,62.2,,,,
Lakshmipur-4,1996,95750,61.7,,,,
Lalmonirhat-1,1996,138782,75.8,,,,
Lalmonirhat-2,1996,137012,70.1,,,,
Lalmonirhat-3,1996,110732,75.5,,,,
Madaripur-1,1996,95169,68.7,,,,
Madaripur-2,1996,145677,72.8,,,,
Madaripur-3,1996,122669,70.2,,,,
Magura-1,1996,165198,83.5,,,,
Magura-2,1996,161013,84.3,,,,
Manikganj-1,1996,115589,78,,,,
Manikganj-2,1996,127983,80.5,,,,
Manikganj-3,1996,145158,81.1,,,,
Meherpur-1,1996,138088,87.1,,,,
Meherpur-2,1996,120021,86.1,,,,
Moulvibazar-1,1996,83757,78,,,,
Moulvibazar-2,1996,133635,75.5,,,,
Moulvibazar-3,1996,170082,75.5,,,,
Moulvibazar-4,1996,179921,75.7,,,,
Munshiganj-1,1996,124288,78.7,,,,
Munshiganj-2,1996,116104,78.7,,,,
Mymensingh-1,1996,98120,69.9,,,,
Mymensingh-10,1996,144749,70,,,,
Mymensingh-11,1996,109960,73.3,,,,
Mymensingh-2,1996,142451,58,,,,
Mymensingh-3,1996,97727,70.3,,,,
Mymensingh-4,1996,197920,65.5,,,,
Mymensingh-5,1996,120670,67.4,,,,
Mymensingh-6,1996,107825,61.4,,,,
Mymensingh-7,1996,109104,62.9,,,,
Mymensingh-8,1996,91434,57.7,,,,
Mymensingh-9,1996,105059,59,,,,
Naogaon-2,1996,159954,83.6,,,,
Naogaon-3,1996,203223,85.4,,,,
Naogaon-4,1996,146986,84.9,,,,
Naogaon-5,1996,159168,85.7,,,,
Naogaon-6,1996,150039,85.2,,,,
Narail-1,1996,111024,74.7,,,,
Narail-2,1996,142194,78.2,,,,
Narayanganj-2,1996,125966,82.8,,,,
Narayanganj-4,1996,189162,71.3,,,,
Narayanganj-5,1996,143973,79.7,,,,
Narsingdi-1,1996,146589,74.3,,,,
Narsingdi-2,1996,105801,81.5,,,,
Narsingdi-3,1996,101246,83.5,,,,
Narsingdi-4,1996,169243,82.9,,,,
Narsingdi-5,1996,168165,76.5,,,,
Natore-1,1996,161207,90.1,,,,
Natore-2,1996,164691,86.1,,,,
Natore-3,1996,121059,80.5,,,,
Natore-4,1996,178285,84.2,,,,
Netrokona-1,1996,149073,74.2,,,,
Netrokona-2,1996,164731,73.7,,,,
Netrokona-3,1996,154833,74,,,,
Netrokona-4,1996,138574,79.3,,,,
Nilphamari-1,1996,150558,73.9,,,,
Nilphamari-2,1996,135042,77,,,,
Nilphamari-3,1996,119853,70.8,,,,
Nilphamari-4,1996,136362,75.7,,,,
Noakhali-1,1996,67377,66.2,,,,
Noakhali-2,1996,184055,61,,,,
Noakhali-3,1996,56321,62.7,,,,
Noakhali-4,1996,134324,59.2,,,,
Noakhali-5,1996,109678,63.8,,,,
Noakhali-6,1996,85017,62.8,,,,
Pabna-1,1996,176682,84.2,,,,
Pabna-2,1996,140185,82.7,,,,
Pabna-3,1996,185874,83.7,,,,
Pabna-4,1996,164215,82.8,,,,
Pabna-5,1996,190164,77.9,,,,
Panchagarh-1,1996,163986,81.81,200457,,,
Panchagarh-2,1996,135342,76.7,,,,
Patuakhali-1,1996,135103,62,,,,
Patuakhali-2,1996,98907,69.4,,,,
Patuakhali-3,1996,96113,61.6,,,,
Patuakhali-4,1996,89484,70.2,,,,
Pirojpur-1,1996,150741,77.3,,,,
Pirojpur-2,1996,53063,53,,,,
Pirojpur-2,1996,64507,64.5,,,,
Pirojpur-3,1996,79968,69.8,,,,
Rajbari-1,1996,147558,79.6,,,,
Rajshahi-1,1996,176102,87.1,,,,
Rajshahi-2,1996,246606,84.1,,,,
Rajshahi-3,1996,198141,83.8,,,,
Rajshahi-4,1996,150178,88,,,,
Rajshahi-5,1996,158675,87.6,,,,
Rangpur-1,1996,121294,68.7,,,,
Rangpur-2,1996,140333,77.3,,,,
Rangpur-3,1996,151390,69.3,,,,
Rangpur-4,1996,182251,80.8,,,,
Rangpur-5,1996,169570,74.1,,,,
Rangpur-6,1996,116569,68.3,,,,
Satkhira-1,1996,220510,86.7,,,,
Satkhira-2,1996,169355,85.9,,,,
Satkhira-3,1996,102549,81.4,,,,
Satkhira-4,1996,154732,86.3,,,,
Shariatpur-1,1996,130194,73.7,,,,
Shariatpur-2,1996,82339,73,,,,
Shariatpur-3,1996,172432,77.8,,,,
Sherpur-1,1996,136238,66.9,,,,
Sherpur-2,1996,155003,73.4,,,,
Sherpur-3,1996,119450,61,,,,
Sirajganj-1,1996,60179,44,,,,
Sirajganj-1,1996,91807,67,,,,
Sirajganj-2,1996,177637,79.8,,,,
Sirajganj-3,1996,166879,79,,,,
Sirajganj-5,1996,140695,75.3,,,,
Sunamganj-1,1996,164414,73.2,,,,
Sunamganj-2,1996,121192,83.4,,,,
Sunamganj-3,1996,108007,68.2,,,,
Sunamganj-4,1996,109186,71.1,,,,
Sunamganj-5,1996,147782,67.2,,,,
Sylhet-1,1996,183280,66.6,,,,
Sylhet-2,1996,131497,65,,,,
Sylhet-3,1996,90879,70,,,,
Sylhet-4,1996,92928,61.9,,,,
Sylhet-5,1996,116891,62.4,,,,
Sylhet-6,1996,152076,67.9,,,,
Tangail-1,1996,152028,76.6,,,,
Tangail-2,1996,167089,75.6,,,,
Tangail-3,1996,146865,79.4,,,,
Tangail-4,1996,154503,85.8,,,,
Tangail-5,1996,239981,77.8,,,,
Tangail-6,1996,90927,70,,,,
Tangail-7,1996,145624,79.6,,,,
Tangail-8,1996,160129,78.4,,,,
Thakurgaon-1,1996,184543,78.3,,,,
Thakurgaon-2,1996,114409,75.3,,,,
Thakurgaon-3,1996,127623,77.4,,,,
Meherpur-1,1999,44134,25.7,,,,
Bagerhat-1,2001,189157,81.8,231267,117301,113966,
Bagerhat-2,2001,180454,82.3,219135,111399,107736,
Bagerhat-3,2001,150944,80.5,187578,96776,90802,
Bagerhat-4,2001,,,247680,124425,123255,
Bandarban,2001,,,174359,92425,81934,
Barguna-1,2001,149356,62.6,238513,120517,117996,
Barguna-2,2001,92360,69.1,133582,66385,67197,
Barisal-1,2001,150347,76.5,196476,100608,95868,
Barisal-2,2001,158438,64.8,244420,126167,118253,
Barisal-3,2001,128469,64.8,198343,103252,95091,
Barisal-4,2001,97379,52.6,185078,95597,89481,
Barisal-5,2001,181737,63.8,285040,151692,133348,
Barisal-6,2001,135456,60.1,225421,114259,111162,
Bhola-1,2001,154536,61.2,252509,131853,120656,
Bhola-2,2001,138856,51,272256,148015,124241,
Bhola-3,2001,149948,59.1,253590,133378,120212,
Bhola-4,2001,156961,57.3,281458,148783,132675,
Bogra-1,2001,196989,71.5,275323,139337,135986,
Bogra-2,2001,183167,84.9,215814,108450,107364,
Bogra-3,2001,180247,86.3,208966,103656,105310,
Bogra-4,2001,195496,86.4,226236,111308,114928,
Bogra-5,2001,286278,77.6,368731,183742,184989,
Bogra-6,2001,289418,76.4,378854,195466,183388,
Bogra-7,2001,186852,83.2,224671,113201,111470,
Brahmanbaria-1,2001,125232,78.8,158846,80501,78345,
Brahmanbaria-2,2001,179059,72.5,246892,125852,121040,
Brahmanbaria-3,2001,280491,72.2,388517,200207,188310,
Brahmanbaria-4,2001,168098,67.8,248031,125620,122411,
Brahmanbaria-5,2001,173332,65.3,265250,134503,130747,
Brahmanbaria-6,2001,126570,71.3,177520,90027,87493,
Chandpur-1,2001,149159,73.7,202444,103299,99145,
Chandpur-2,2001,130901,57.7,226693,117387,109306,
Chandpur-3,2001,123718,62.3,198645,103081,95564,
Chandpur-4,2001,162923,62.8,259559,138184,121375,
Chandpur-5,2001,212384,72.3,293721,150521,143200,
Chapai Nawabganj-1,2001,248995,89.7,277487,139898,137589,
Chapai Nawabganj-2,2001,,,245929,120666,125263,
Chapai Nawabganj-3,2001,217234,84.1,258388,127110,131278,
Chittagong-1,2001,171351,76.2,224836,110088,114748,
Chittagong-10,2001,212432,67.2,316055,173548,142507,
Chittagong-11,2001,154036,73.6,209342,108871,100471,
Chittagong-12,2001,150157,70.5,212844,109561,103283,
Chittagong-13,2001,130227,74.5,174824,90642,84182,
Chittagong-14,2001,220891,74.6,296015,148640,147375,
Chittagong-15,2001,161322,72.7,221841,113884,107957,
Chittagong-2,2001,136919,76.4,179110,96550,82560,
Chittagong-3,2001,109088,67.8,160923,77382,83541,
Chittagong-4,2001,193095,69.8,276791,139090,137701,
Chittagong-5,2001,164945,72.7,227030,113860,113170,
Chittagong-6,2001,143398,69.6,206138,104089,102049,
Chittagong-7,2001,132817,72.6,182878,93198,89680,
Chittagong-8,2001,320077,66.1,484127,283738,200389,
Chittagong-9,2001,249376,60.3,413465,258370,155095,
Chuadanga-1,2001,273492,87,314407,158615,155792,
Chuadanga-2,2001,257299,89.1,288746,145449,143297,
Comilla-1,2001,109657,62.7,175001,91457,83544,
Comilla-10,2001,185513,70.1,264626,133831,130795,
Comilla-11,2001,135964,73.8,184194,93979,90215,
Comilla-2,2001,211730,62.2,340631,176727,163904,
Comilla-3,2001,199155,65,306188,156109,150079,
Comilla-4,2001,155695,64.5,241321,124229,117092,
Comilla-5,2001,190830,71.4,267360,137904,129456,
Comilla-6,2001,127723,69,185157,92836,92321,
Comilla-7,2001,152920,74.4,205665,101440,104225,
Comilla-8,2001,134969,59.5,226885,118507,108378,
