seat,year,party,name,votes,votes_pc,winner
Chittagong-9,1991,Ganatantri Party,Abdul Halim,32,0.03,no
Dhaka-7,1996,Bangladesh Janata Party,Md. Humayun Kabir,32,0.02,no
Dhaka-11,1996,Social Democratic Party,Sheikh Mostaq Ahmed,32,0.01,no
Dhaka-11,1996,Jatiya Janata Party (Asad),Mirza Munira Aktar,32,0.01,no
Dhaka-7,2001,BKSMA (Sadeq),Krishak Md. Sadeq,32,0.01,no
Noakhali-6,2001,Independent,Main Uddin,32,0.03,no
Comilla-3,2001,Independent,Md. Nazmul Hossain,32,0.02,no
Khulna-2,1991,Independent,Liakat Ali,33,0.04,no
Dhaka-9,1996,Bangladesh Krishak Raj Islami Party (F.Hq. Sardar),Qari Md. Fazlul Haque Sardar,33,0.02,no
Noakhali-6,1996,Bangladesh National Congress,Momen Uddin Ahmed,33,0.04,no
Dhaka-9,2001,Despram Party,Marshal Shah Alam,33,0.01,no
Dhaka-9,2001,Independent,Md. Shah Alam,33,0.01,no
Dhaka-10,2001,Independent,Sheikh Tawsif Xilani,33,0.02,no
Noakhali-6,2001,Independent,Md. Gias Uddin,33,0.03,no
Dhaka-6,1991,Jatiya Jukta Front,Asadul Kabir,34,0.03,no
Dhaka-6,2001,Liberal Party Bangladesh,Afzalul Haq Sikder,34,0.01,no
Dhaka-6,2001,BKSMA (Sadeq),Krishak Md. Sadeq,34,0.01,no
Jhenaidah-1,1991,Independent,Tanzilur Rahman,35,0.03,no
Barisal-5,1991,Independent,Khandakar M. A. Kasem,35,0.03,no
Dhaka-11,1991,Bangladesh Bekar Samaj,Afroza Begum,35,0.03,no
Chittagong-9,1991,JSD (Rab),Monsur Ahmad Shofi,35,0.03,no
Chittagong-9,1991,NAP (Bhashani),Syed Mostofa Jamal,35,0.03,no
Pirojpur-1,1996,FP,Md. Emdadul Kabir,35,0.02,no
Dhaka-9,1996,FP,A. S. M. Jamaluddin,35,0.02,no
Dhaka-6,2001,Independent,Abdul Latif Mamun,35,0.01,no
Dhaka-6,2001,Independent,M. Iqbal Kabir,35,0.01,no
Comilla-3,2001,Independent,Syed Mostak Ahmed,35,0.02,no
Dhaka-7,1991,Bangladesh Muslim League,Md. Foyez Box Kadri,36,0.03,no
Dhaka-9,1991,BAKSAL,M. A. Satter,36,0.04,no
Dhaka-7,1996,Social Democratic Party,Md. Nurul Islam,36,0.02,no
Dhaka-7,1996,JSD (Rab),Md. Hafizur Rahman,37,0.02,no
