seat,year,party,name,votes,votes_pc,winner
Noakhali-4,2008,Zaker Party,Md. Iktear Uddin,425,0.15,no
Jamalpur-3,1991,FP,Md. Nurul Haq Zangi,427,0.35,no
Gaibandha-4,1996,Independent,Sheikh Sadek,427,0.25,no
Moulvibazar-3,1996,Bangladesh Muslim League,Md. Abdul Matin,427,0.25,no
Dhaka-7,2008,Bikalpa Dhara,Azmire Begam,427,0.19,no
Thakurgaon-1,1991,Independent,Atiqul Islam Atik,428,0.36,no
Comilla-8,1991,JSD (Rab),Shiv Narayan Das,428,0.44,no
Brahmanbaria-6,1996,Zaker Party,Md. Al-Amin,428,0.43,no
Chandpur-4,2008,Independent,Md. Mahiuddin,428,0.25,no
Chittagong-12,2008,BKA,Rashidul Haq,428,0.21,no
Dhaka-2,1991,Independent,Dewan Mintu,429,0.48,no
Dhaka-11,1991,Workers Party,Kamrul Hasan,430,0.37,no
Narayanganj-4,1991,Dhumpan O MAdokdrobba Nibaronkari Manabsheba Schansta,Md. Mosleh Udiin,430,0.32,no
Habiganj-1,1991,Independent,Khalilur Rahman,430,0.4,no
Comilla-2,1996,Independent,S. A. Hashem,430,0.27,no
Comilla-9,1996,Gano Forum,Md. Abdul Matin,430,0.39,no
Chandpur-3,2008,Bangladesh Tarikat Federation,Mizanur Rahman,430,0.17,no
Kurigram-2,1991,JSD (Rab),Md. Motlabbar Rahaman,431,0.31,no
Kurigram-4,1996,BaSaD,Abul Bashar Manju,431,0.41,no
Sirajganj-2,1996,Zaker Party,Amin Koraishee,431,0.24,no
Chittagong-11,1996,CPB,Abdus Salam,431,0.37,no
Dhaka-9,1991,Bangladesh Janata Party,Shamsuddin Ahmed,432,0.47,no
Narayanganj-4,1991,Bangladesh Freedom League,Babul Prodhan,432,0.32,no
Mymensingh-10,1996,Gano Forum,Md. Hasmat Neta,432,0.3,no
Rangpur-3,2001,BaSaD,Abdul Kuddus,432,0.21,no
Habiganj-2,2001,Independent,Krisna Kanta Sarkar,432,0.27,no
Sirajganj-5,2008,Krishak Sramik Janata League,Hassan Ali Talukder,432,0.18,no
Comilla-8,1996,Zaker Party,Md. Wahidul Islam,433,0.37,no
Gaibandha-5,2008,Bikalpa Dhara,Md. Sahif Uddin Kazol,433,0.2,no
Thakurgaon-2,2001,Independent,A. K. M. Enyet Ali,434,0.27,no
Rajshahi-4,2018,Independent,Sardar Mohammad Sirajul Karim,434,0.21,
Dhaka-10,1991,JSD (Rab),Mir Hossain Akhtar,435,0.56,no
Dhaka-4,1996,BKA,Md. Jamal Uddin Mian,435,0.2,no
Naogaon-5,2008,Bikalpa Dhara,S. M. Habibur Rahman,435,0.19,no
Chittagong-3,2008,NPP,Kazi Mohammal Eusuf Alam,435,0.17,no
Tangail-7,1991,Independent,Md. Nurul Islam,436,0.37,no
Dhaka-5,1991,Independent,Mojammal Huq,436,0.31,no
Narsingdi-4,1991,Independent,Ashrab Ali,436,0.33,no
Sunamganj-5,1991,JSD (Rab),Abul Lais,436,0.35,no
Bogra-2,2001,JSD (Rab),Md. Abdul Karim Mandal,436,0.24,no
Dhaka-6,2001,BKA,Muhammad Zafrullah Khan,436,0.15,no
Rajshahi-6,2008,JSD (Rab),Nurul Islam,436,0.19,no
Dhaka-10,1991,Islami Oikya Jote,Abdul Based,438,0.56,no
Bhola-3,1996,Gano Forum,Md. Feroj Kibria Kishore,438,0.36,no
Sunamganj-1,1996,Workers Party,Tarek-Al-Moin,438,0.27,no
Lakshmipur-2,2001,Gano Forum,Ruhul Amin Patwari,438,0.26,no
Joypurhat-1,1991,Islami Oikya Jote,Md. Mukim Uddin,439,0.28,no
Narail-2,1991,Zaker Party,Mominuddin Munshi,439,0.33,no
Tangail-4,1991,FP,Md. Joaher Ali,439,0.33,no
Sylhet-6,1996,Bangladesh Muslim League,Md. Habibur Rahman,439,0.29,no
Patuakhali-2,2008,Bangladesh Tarikat Federation,Mohammad Rafiqul Islam,439,0.24,no
Mymensingh-5,2008,Krishak Sramik Janata League,Md. Sayed Ali,439,0.21,no
Khulna-3,1996,Independent,Md. Delwar Hossain,440,0.37,no
Manikganj-2,1991,Independent,Zahir Uddin Miah,441,0.36,no
Barguna-1,1996,CPB,Abdul Halim,441,0.38,no
Dhaka-9,2008,BKA,Abdur Rashid Gazi,441,0.16,no
Chittagong-1,2008,Independent,Abu Salek,441,0.22,no
Bagerhat-1,1991,JaPa,Sheik A Hai,442,0.34,no
Sherpur-3,1991,Independent,Md. Lokman Miah,442,0.44,no
Chittagong-8,2008,NDP,Tapan Chakrabarti,443,0.18,no
Satkhira-3,2008,Independent,Barun Kumar Biswas,444,0.16,no
Dhaka-5,2008,PDP,Md. Khalekuzzaman Chowdhury,444,0.16,no
Dhaka-9,2008,Bikalpa Dhara,Nishar Uddin Ahmed Kazal,444,0.16,no
Pabna-2,1991,NAP (Bhashani),Md. Saudur Rahman,445,0.37,no
Sylhet-1,1991,Bangladesh Nezam-e-Islam Party,A. Rakib,445,0.38,no
Nilphamari-3,1991,Zaker Party,Md. Abdur Rouf Pramanik,446,0.4,no
Kishoreganj-4,1991,CPB,Md. Aamirul Islam,446,0.42,no
Nilphamari-3,1996,Zaker Party,Md. Mozaffor Hossain,446,0.37,no
Bogra-7,2008,BSD,Shamsul Alam Dulu,446,0.14,no
Lalmonirhat-2,1991,Zaker Party,Md. Kazi Altafur Rahman,447,0.4,no
Comilla-7,1991,JSD (Rab),Shahid Ullah,447,0.48,no
Pabna-1,1991,NAP (Muzaffar),Md. Ahad Ali,448,0.3,no
Rajshahi-1,1996,Independent,M. M. Sajedun Nabi,448,0.25,no
Pabna-5,2001,Independent,Ashraful Alam Chowdhury,448,0.18,no
Comilla-8,2008,BSD,Saifur Rahman Tapan,448,0.17,no
Pirojpur-2,1991,UCL,Nimai Karishna Mondol,449,0.69,no
Sylhet-1,1991,Zaker Party,Md. Abdul Karim,449,0.38,no
Gopalganj-2,1996,Gano Forum,Abul Kashem,449,0.34,no
Comilla-3,1996,Independent,Md. Rafiqul Islam,449,0.29,no
Feni-1,2001,BIF,Ruhul Amin,449,0.31,no
Feni-1,2001,BKA,Anowar Ullah Bhuiyan,449,0.31,no
Gaibandha-5,1996,Gano Forum,Golzar Rahman,450,0.34,no
Bagerhat-3,1996,Workers Party,Mohiuddin Sheikh,450,0.38,no
Barguna-1,1996,Bangladesh Muslim League,Gaji Md. Abdur Rashid,450,0.39,no
Jhenaidah-3,2008,Independent,Md. Abdul Mannan,450,0.17,no
Dhaka-16,2008,United Citizen Movement,Qazi Faruque Ahmed,450,0.2,no
Kishoreganj-5,1991,JSD (Rab),Ali Ahmed Milki,451,0.39,no
Tangail-2,1991,Independent,Md. Rafiqul Islam,452,0.31,no
Dhaka-6,1991,Bangladesh Janata Party,Shah Md. Mohsin,452,0.41,no
Feni-1,1991,Zaker Party,Abul Kalam,452,0.48,no
Jamalpur-5,2008,Zaker Party,Abul Allama Md. Jasim Uddin,452,0.16,no
Noakhali-2,2008,BJP,Mohammad Momin Ullah,452,0.29,no
Sirajganj-1,1991,Zaker Party,Golam Ambia Tang,453,0.57,no
Brahmanbaria-2,1991,Democratic League,Ehsanul Haq,453,0.39,no
Gopalganj-3,1996,JaPa,Kazi Firoz Rashid,453,0.41,no
Chittagong-9,1996,BaSaD,Kazi Shahjahan,453,0.22,no
Habiganj-2,2001,Independent,Sakhawat Hasan Jibon,453,0.28,no
Gaibandha-3,1991,Independent,Md. Nazrul Islam,454,0.33,no
Dhaka-7,1991,FP,Liyakat Hossain,454,0.34,no
Narsingdi-5,1996,FP,Ibrahim Mridha,454,0.27,no
Dhaka-9,1991,BKA,Md. Shahidul Alam Chowdhury,455,0.49,no
Sylhet-5,1996,JSD (Rab),A. T. M. Abdul Mustaqim,455,0.39,no
Netrokona-1,2001,Krishak Sramik Janata League,A. K. Azad,455,0.23,no
Bogra-5,1996,Zaker Party,Md. Abdul Hakim,456,0.2,no
Rangpur-1,2001,Independent,Md. Matiar Rahman,456,0.26,no
Mymensingh-10,2008,JSD (Rab),Md. Abdul Montakim,456,0.21,no
Feni-2,2008,BSD,Haradhan Chakrabarty,456,0.22,no
Narail-2,1991,JaPa,Saif Hafizur Rahman,457,0.35,no
Sherpur-1,1991,JSD (Rab),Md. Sekandar Ali,457,0.4,no
Tangail-3,1996,Zaker Party,Md. Ajharul Islam,458,0.31,no
Faridpur-2,1996,BKA,Abdul Mannan,458,0.38,no
Chittagong-4,1996,BIF,Md. Jasim Uddin,458,0.33,no
Chittagong-14,2001,CPB,Apurba Charan Das,458,0.21,no
Brahmanbaria-2,2008,Independent,Abdul Halim,458,0.19,no
Brahmanbaria-3,2008,Independent,Jahirul Haque Chawdhury,458,0.18,no
Jamalpur-5,1991,JSD (Rab),A. Hakim,459,0.32,no
Kishoreganj-1,1991,Zaker Party,Md. Mujibur Rahman,459,0.46,no
Lakshmipur-2,1991,Zaker Party,Main Uddin,459,0.64,no
Panchagarh-2,1996,Zaker Party,Md. Mansur Ali,459,0.34,no
Sylhet-1,1996,Independent,Md. Habibur Rahman Moin,459,0.25,no
Dinajpur-3,2001,Bangladesh Janata Party,Fayez Uddin Ahmed,459,0.23,no
Naogaon-5,2001,Independent,Md. Abdur Razzak,459,0.24,no
Brahmanbaria-1,1991,Workers Party,Haripada Rishi,460,0.51,no
Gaibandha-1,1996,Gano Forum,Md. Abul Kashem,460,0.36,no
Sherpur-3,1996,Zaker Party,Md. Liakat Ali,460,0.39,no
Netrokona-3,2001,Krishak Sramik Janata League,Syed Abu Zafar Sabat,460,0.23,no
Noakhali-1,2008,Krishak Sramik Janata League,Md. Amin Ulla,460,0.24,no
Dhaka-3,1996,Independent,A. Samad,461,0.22,no
Noakhali-4,2001,BKA,Hossain Ahammad,461,0.23,no
Jessore-4,1991,JSD (Rab),Mosharaf Hossain,462,0.29,no
Comilla-4,1991,BKA,Abdul Aziz Khomeni,462,0.5,no
Feni-2,1996,Islami Oikya Jote,Nurul Karim Balal,462,0.3,no
Narayanganj-5,2001,Independent,Shahabuddin Ahmmad,462,0.27,no
Comilla-2,2001,Independent,Md. Shahid Ullah Sarkar,462,0.22,no
Tangail-5,1991,FP,Md. Nazrul Islam Khan,463,0.24,no
Feni-2,2001,Independent,Shawkat Osman,463,0.25,no
Rangpur-1,1991,Zaker Party,Md. Ruhul Amin,464,0.52,no
Mymensingh-11,2008,Krishak Sramik Janata League,Md. Abdullah,464,0.23,no
Gazipur-5,2008,Independent,Richard R. Fraser,464,0.23,no
Dhaka-9,2001,CPB,Abdul Maleq,465,0.21,no
Joypurhat-2,1991,Zaker Party,S. M. Khokon Chowdhury,466,0.39,no
Gazipur-3,1991,JSD (Rab),Altaf Hossain,466,0.45,no
Lalmonirhat-1,1991,NDP,Saifuddin Ahmed,467,0.42,no
Nilphamari-2,2001,Independent,Mosa. Monsura Begum,467,0.25,no
Bogra-6,2001,BKA,Md. Safiqul Hasan,467,0.16,no
Noakhali-6,2001,Independent,Md. Abdus Sahid,467,0.46,no
Cox's Bazar-2,2008,Gano Front,Golam Mowla,467,0.24,no
Bogra-4,1996,Zaker Party,Md. Sohidul Islam Dulal,468,0.31,no
Chapai Nawabganj-3,2001,Gano Azadi League (Samad),Abdus Samad,468,0.22,no
Dinajpur-5,1991,Independent,Shamsuddin Ahmed,469,0.33,no
Comilla-10,1991,NAP (Muzaffar),Jinnat Ali,469,0.46,no
Dhaka-11,1996,Workers Party,Qamrul Ahsan,469,0.17,no
Jessore-2,2001,CPB,Abul Hossain,469,0.18,no
Patuakhali-3,2008,Gano Forum,Shah Alom Bhuyan,469,0.24,no
Noakhali-6,1991,Workers Party,Anwar Hossain,470,0.74,no
Comilla-10,1996,NAP (Bhashani),Mohammad Lokman Hossain,470,0.35,no
Barisal-1,2001,IJOF,Md. Haroon Ur Rashid,470,0.31,no
Habiganj-1,2001,BaSaD,Junaed Ahmed,470,0.25,no
Brahmanbaria-5,2008,Independent,Md. Musfiqur Rahman,470,0.24,no
Satkhira-2,1991,JSD (Rab),Kazi Riaz Uddin,471,0.4,no
Rangpur-4,2001,JSD (Rab),Md. Abdullah Al Mahmud,471,0.19,no
Sirajganj-1,2001,IJOF,Md. A. Barek Bakul,471,0.33,no
Chittagong-10,2001,Independent,Ahammad Hossain,473,0.22,no
Narail-2,2002,JaPa,Sharif Munir Hossain,473,0.33,no
Dhaka-1,2008,BRWP,Khandaker Ali Abbas,473,0.17,no
Nilphamari-2,1991,Zaker Party,Md. Fazlul Haq,474,0.45,no
Jhalokati-2,1991,Zaker Party,Mostafizur Rahman,474,0.4,no
Pirojpur-1,1991,Ganatantri Party,Ali Haider Khan,474,0.39,no
Brahmanbaria-3,2001,Krishak Sramik Janata League,Salim Mia,474,0.17,no
Meherpur-2,1991,Independent,Md. Abul Hussein Molla,475,0.5,no
Gopalganj-1,1991,Zaker Party,A. Mannan,475,0.39,no
Netrokona-2,1996,Zaker Party,Nawab Gazi,475,0.29,no
Mymensingh-9,2008,Independent,A. S. M. Akram,475,0.25,no
Natore-4,1996,Zaker Party,Saifuddaula Sabu,476,0.27,no
Rajshahi-2,2008,CPB,Md. Enamul Haque,476,0.23,no
Kurigram-1,1991,CPB,Md. Abdul Hai,477,0.4,no
Jessore-4,1991,Jatiya Biplobi Front,Mizanur Rahman,477,0.3,no
Chandpur-2,1991,FP,Hashem Kazi,477,0.51,no
Kurigram-3,1996,Gano Forum,Md. Abdul Jalil Sarkar,477,0.45,no
Mymensingh-3,2008,Krishak Sramik Janata League,Md. Motiur Rahaman,477,0.18,no
Kushtia-1,1991,Jatiya Janata Party (Asad),Md. Hafizur Rahman Khaza,478,0.32,no
Panchagarh-1,2001,Independent,Muhammad Ali,478,0.23,no
Noakhali-3,2001,JSD (Rab),Nurul Amin Bhuyan,478,0.55,no
Dhaka-7,2008,Independent,Md. Eiah Hiah Ahmed,478,0.21,no
Chittagong-13,2008,JaPa,Mridul Guha,478,0.27,no
Bogra-5,1996,Workers Party,Md. Mozahar Ali Prang,479,0.21,no
Mymensingh-7,1991,JSD (Rab),Md. Razab Ali,480,0.54,no
Habiganj-3,1991,Zaker Party,Mufti Abu Naser,480,0.51,no
Dhaka-17,2018,JaPa,Hussain Muhammad Ershad,480,0.23,
Madaripur-3,1991,Bangladesh Muslim League,A. K. M. Jahangir,481,0.43,no
Kishoreganj-4,1991,Zaker Party,A. Latif Khandakar,482,0.45,no
Brahmanbaria-3,1991,CPB,Somesh Ranjan Roy,482,0.27,no
Dinajpur-2,1996,JSD (Rab),Taimur Rahman,482,0.34,no
Comilla-10,1996,Zaker Party,Ruhul Amin,482,0.36,no
Narsingdi-1,2008,Gano Forum,Shahiduzzaman Chowdhury,482,0.21,no
Brahmanbaria-2,1991,JSD (Rab),Nurul Aamin,483,0.41,no
Jamalpur-5,1996,Independent,Md. Joynul Abedin,483,0.22,no
Gopalganj-1,1991,Independent,Md. Lutfar,484,0.4,no
Cox's Bazar-1,1991,BAKSAL,S. A. K. Shamsul Huda,484,0.45,no
Magura-1,1996,Zaker Party,Abul Hasem Moulana,484,0.29,no
Bhola-1,2008,Gano Front,Krisok Md. Sadak,484,0.27,no
Gaibandha-1,2014,Independent,Syeda Khurshid Jahan,484,0.36,
Netrokona-2,2014,JP (Manju),Md. Ayub Ali,484,0.42,
Jamalpur-5,1996,Zaker Party,Khandakar Nuruzzaman,485,0.22,no
Moulvibazar-3,2001,BaSaD,Mamunur Rashid,485,0.44,no
Natore-3,1996,Zaker Party,Nazrul Islam,486,0.4,no
Brahmanbaria-2,1996,Zaker Party,Dewan Omor Faruk,486,0.34,no
Panchagarh-1,2001,Gano Forum,Md. Rezael Islam,486,0.23,no
Kurigram-3,2008,Bangladesh Kalyan Party,Mohammad Alli Sarker,486,0.19,no
Gaibandha-5,2008,BSD,Md. Noushaduzzaman,486,0.22,no
Mymensingh-11,2014,JaPa,Md. Hafiz Uddin,486,0.48,
Gaibandha-3,1991,Independent,Md. Muslem Uddin Khandakar,487,0.35,no
Bagerhat-3,1991,Zaker Party,Syed Akramul Haq,487,0.49,no
Brahmanbaria-4,1991,BAKSAL,Dilara Begum,487,0.41,no
Dinajpur-4,2001,Independent,Monindra Nath Ray,487,0.24,no
Habiganj-4,2001,Independent,Dowlat Mia,488,0.21,no
Sylhet-3,1991,JSD (Rab),Md. Abdun Nur,489,0.56,no
Noakhali-2,1991,JSD (Rab),Monir Uddin Khandakar,489,0.38,no
Patuakhali-3,2014,JSD (Rab),Md. Habibur Rahman,489,0.31,
Rangpur-4,2008,PDP,Md. Abdul Kaium,490,0.17,no
Chandpur-1,2008,Gano Forum,Md. Azad Hossain,491,0.26,no
Sherpur-1,1991,JSD (Rab),Md. Saiful Islam,492,0.43,no
Comilla-6,1991,Bangladesh Muslim League,Mafizur Rahman Mazu,492,0.64,no
Mymensingh-7,2001,Workers Party,Sujit Barman,492,0.31,no
Chuadanga-2,1991,Islami Oikya Jote,A. Mannan,493,0.36,no
Comilla-5,1996,NAP (Bhashani),Md. Sirajul Islam,493,0.38,no
Panchagarh-1,1991,JSD (Rab),Azizar Rahman,494,0.4,no
Bagerhat-1,1991,Pragotishi Jatiatabadi Dal (Nurul A Moula),Sheikh Shawkat Hossain Nilu,494,0.38,no
Comilla-8,2001,BaSaD,Saifur Rahman Tapan,494,0.37,no
Chandpur-2,2008,Gano Front,Md. Jahirul Islam,494,0.22,no
Rajshahi-4,2018,Islami Andolan Bangladesh,Md Tajul Islam Khan,494,0.24,
Bhola-2,1996,Islamic Sashantantrik Andolan,Kari Golam Mostofa,495,0.51,no
Jessore-6,2008,PDP,Quazi Shafiqul Islam,495,0.17,no
Sylhet-1,2008,Bangladesh Kalyan Party,Md. Kahir Mahmood,495,0.15,no
Nilphamari-3,2001,JSD (Rab),Azizul Islam,496,0.29,no
Comilla-9,2001,IJOF,Saif Uddin Ahmmad,496,0.34,no
Rajshahi-3,1996,JSD (Rab),Abu Zahid Mostaq Hossain,497,0.25,no
Mymensingh-6,2008,JSD (Rab),Md. Shamsul Alam Khan,498,0.24,no
Bogra-1,1996,JSD (Rab),Wazedur Rahman,499,0.34,no
Sirajganj-2,2001,BaSaD,Abu Bakar Bhuiyan,499,0.2,no
Tangail-3,2001,Independent,Md. Habibur Rahman Khan,499,0.26,no
Chandpur-2,1991,Jatiyatabadi Gonotantrik Chashi Dal,Shah Alam,500,0.53,no
Shariatpur-3,1996,CPB,Md. Moslem Khan,500,0.29,no
Rajshahi-3,2008,PDP,Md. Abdul Hay,500,0.19,no
Sylhet-6,2001,JSD (Rab),Lokman Ahmed,501,0.27,no
Rajshahi-6,2008,Bikalpa Dhara,Maskaol Ahoshan,501,0.22,no
Dinajpur-5,1991,Workers Party,Md. Mozammel Hossain Sarkar,502,0.35,no
Bogra-1,1991,JSD (Rab),Md. Mukbul Hossain,502,0.37,no
Chittagong-10,1996,Zaker Party,Din Mohammad,502,0.29,no
Joypurhat-2,1991,BNIP,Md. Abul Kasem Mondol,503,0.43,no
Dhaka-2,1996,Zaker Party,Md. Kazi Ferdous,503,0.46,no
Natore-3,1996,Workers Party,Mizanur Rahman Mizan,504,0.42,no
Barguna-2,1996,Zaker Party,Md. Mojibur Rahman,504,0.63,no
Comilla-5,2001,Independent,Abdullah Al-Mamun,504,0.26,no
Comilla-7,2008,Bangladesh Khelafat Majlish,Wali Ullah,504,0.3,no
Magura-2,2014,BNF,Firoza,504,0.48,
Barisal-4,1996,Zaker Party,M. A. Razzak,506,0.54,no
Dhaka-5,1996,Gano Forum,Zamil Chowdhury,506,0.18,no
Noakhali-1,2001,JSD (Rab),Md. Tajul Islam,506,0.54,no
Satkhira-4,2008,BSD,Khogandronath Ghosh,506,0.19,no
Comilla-3,1991,Bangladesh Muslim League,Salimullah,507,0.39,no
Gaibandha-1,1996,CPB,Md. Nur E Alam Manik,507,0.39,no
Habiganj-4,1996,Gano Forum,Md. Anowar Hossain Chowdhury,507,0.27,no
Dhaka-4,2001,CPB,Sahidullah Chowdhury,507,0.17,no
Dhaka-8,1996,JSD (Rab),Sheikh Rashid Mahmud,508,0.32,no
Kushtia-3,2008,NPP,Md. Abu Ahad Al Mamun,509,0.19,no
Sunamganj-4,1991,FP,A. Bablu Ribora,510,0.55,no
Chapai Nawabganj-1,2001,Independent,Ittehad Touhidul Idrisi,510,0.2,no
Chittagong-8,2001,Gano Forum,Jane Alam,510,0.16,no
Bogra-5,2008,Bikalpa Dhara,Mahbub Ali,510,0.16,no
Barguna-1,2008,Bangladesh Tarikat Federation,Shah Md. Abul Kalam,510,0.2,no
Chittagong-1,1996,CPB (M-L),Dilip Barua,511,0.45,no
Tangail-2,1991,Zaker Party,Md. Ali,512,0.35,no
Pirojpur-1,2008,United Citizen Movement,Md. Abu Sayed,512,0.25,no
Khulna-3,2014,Independent,Shahida Begum,512,0.97,
Barguna-1,2014,BNF,Md. Kholilur Rahman Khan,512,0.34,
Sunamganj-4,1991,Bangladesh Samajtantrik Dal (Mahbub),Binod Ranjan Talukdar,513,0.55,no
Bhola-2,2001,IJOF,Md. Jahangir Alam Shikder,513,0.37,no
Habiganj-1,1996,Independent,Md. A. Samit,514,0.37,no
Chandpur-3,1996,Independent,Md. Zakaria,514,0.52,no
Sherpur-1,2008,Krishak Sramik Janata League,Md. Shofiullah,514,0.21,no
Sirajganj-2,1991,Zaker Party,Md. Nazrul Islam,515,0.36,no
Brahmanbaria-3,1991,Muslim Peoples Party,Muhammad Jahangir,515,0.29,no
Barisal-2,2008,Independent,Ranzit Kumar Baray,516,0.26,no
Sylhet-6,2008,PDP,Sorof Uddin Khosru,516,0.21,no
Barguna-2,1991,Zaker Party,A. T. M. Hannan,517,0.75,no
Feni-1,1991,Pragotishi Jatiatabadi Dal (Nurul A Moula),A. T. M. Golam Mawla Chowdhury,517,0.55,no
Chittagong-15,1996,Zaker Party,Nurul Haque,517,0.43,no
Sherpur-1,2001,Krishak Sramik Janata League,Md. Samedul Haq Khan,517,0.26,no
Comilla-10,2008,LDP,Jmirul Akhter,517,0.22,no
Chittagong-12,2008,Gano Forum,Uzzal Bhumik,517,0.25,no
Madaripur-3,2008,Independent,Tasmin Rana,518,0.28,no
Chandpur-3,2008,Gano Forum,Selim Akbar,518,0.2,no
Tangail-3,1991,CPB,Shree Kartik Chandra Dutta,519,0.43,no
Mymensingh-10,1996,Islamic Sashantantrik Andolan,A. K. M. Hafizur Rahman,519,0.36,no
Bogra-1,2001,Workers Party,Ziaul Haq Zia,519,0.26,no
Kishoreganj-5,1991,Workers Party,Kazi Salah Uddin,520,0.45,no
Brahmanbaria-2,2001,JP (Manju),Md. Jaminul Haq,521,0.29,no
Dhaka-20,2008,JSD (Rab),M. A. Mannan,521,0.23,no
Sherpur-3,1991,JSD (Rab),Abul Hashem,522,0.52,no
Bogra-5,1991,JSD (Rab),S. M. Ferdous Alam,523,0.3,no
Sylhet-5,1991,Zaker Party,Md. Abdul Karim,523,0.58,no
Nilphamari-1,1996,Independent,Abdul Hai Sarker,523,0.35,no
Bhola-3,2001,IJOF,AKM Nazrul Islam Mia,523,0.35,no
Bhola-3,1991,Independent,Nazimuddin Alam,524,0.64,no
Bhola-3,1991,Zaker Party,Md. Rafiqul Islam,524,0.64,no
Satkhira-4,1996,Islami Oikya Jote,Mohiuddin Ahmed,524,0.34,no
Gopalganj-3,1996,Zaker Party,Biswas Fazlul Haque,524,0.47,no
Naogaon-6,1991,Zaker Party,Md. Nazrul Islam,525,0.39,no
Kushtia-4,1991,JaPa,Md. Shahidul Islam,525,0.35,no
Narsingdi-4,1991,CPB,Md. Matiur Rahman,525,0.39,no
Magura-1,2001,Gano Forum,Muhammad Mizanur Rahman,525,0.25,no
Sylhet-2,2008,Bikalpa Dhara,Mahabubur Rahaman Chowdhury,525,0.24,no
Sylhet-6,1991,JSD (Rab),Saidur Rahman Khan Mahbtab,526,0.42,no
Mymensingh-4,2001,Krishak Sramik Janata League,Md. Kamruzzaman,526,0.2,no
Jamalpur-5,2014,JaPa,Babar Ali Khan,526,2.59,
Dinajpur-4,1991,JSD (Rab),M. A. Rashid Beg,527,0.43,no
Bogra-3,1996,Zaker Party,Sirazul Islam,528,0.35,no
Chittagong-11,2008,CPB,A. F. M. Shah Alam,528,0.28,no
Noakhali-3,1991,BKA,Delwar Hossain,529,1.03,no
Tangail-2,1991,UCL,K. Jahangir,530,0.36,no
Manikganj-3,1996,Zaker Party,Gazi Mamunur Rahman,530,0.37,no
Manikganj-1,2001,Krishak Sramik Janata League,Mehedi Rafi,530,0.35,no
Sylhet-2,2008,JSD (Rab),Mokulisur Rahaman,530,0.24,no
Narsingdi-4,1991,Jatiya Oikkya Front,A. Rashid,531,0.4,no
Feni-2,2001,BIF,Masum Faruki,531,0.28,no
Noakhali-1,2008,Independent,Golam Moula,531,0.28,no
Sylhet-3,1991,JSD (Rab),Saifur Razzak,532,0.61,no
Manikganj-1,1996,Independent,Dulal Kumar Biswas,532,0.46,no
Dhaka-9,1996,Desh Prem Party,Marshal Shah Alam,532,0.28,no
Brahmanbaria-2,2008,JSD (Rab),Taimur Reza Md. Shazad,532,0.22,no
Rangpur-4,1991,FP,Md. Abdul Mannan Shardar,533,0.33,no
Kushtia-3,1991,Zaker Party,Md. Rafiq Khan Khokon,533,0.36,no
Mymensingh-6,2008,BKA,Ahmad Ali,533,0.25,no
Sirajganj-2,2001,Independent,Muhammad Salim,534,0.21,no
Khulna-2,1991,Zaker Party,Kazi Ahmed Hasan,535,0.57,no
Narsingdi-4,1996,Zaker Party,Md. Akram Hossain,535,0.32,no
Moulvibazar-3,1996,JSD (Rab),Md. Abdul Haq,535,0.31,no
Sherpur-2,1991,Independent,Md. Akhtaruzzaman Akhter,537,0.47,no
Habiganj-3,1991,Independent,Md. Tazul Islam,537,0.57,no
Narsingdi-1,2008,Gano Front,Md. Zakir Hossain,537,0.23,no
Comilla-4,2008,JSD (Rab),Abdul Malek Ratan,537,0.27,no
Gazipur-2,1996,BaSaD,Osman Ali,538,0.21,no
Mymensingh-4,2008,BSD,Abu Naem Md. Khairul Bashar,538,0.2,no
Habiganj-4,1991,JSD (Rab),Mohammad Firoz,539,0.36,no
Gopalganj-2,1996,Bhasani Front,Asit Baran Roy Khokon,539,0.4,no
Cox's Bazar-3,2001,BKSMA (Sadeq),Krishak Md. Sadeq,539,0.43,no
Naogaon-6,1991,Independent,Chowdhury Motahar Hossain,540,0.41,no
Kishoreganj-6,2001,Independent,Nasrin Monem Khan,540,0.33,no
Jamalpur-4,2008,Krishak Sramik Janata League,Habibar Rahman Talukdar,540,0.25,no
Panchagarh-2,1991,Zaker Party,Md. Mansur Ali,543,0.5,no
Noakhali-4,1991,BKA,Hossain Ahammad,543,0.59,no
Comilla-2,1991,FP,A. Latif Shikder,543,0.54,no
Gaibandha-1,1996,Independent,Md. Mosaddek Hossain Khan,543,0.42,no
Kurigram-1,2001,JP (Manju),Md. Ershadul Haque Dipu,543,0.21,no
Faridpur-3,1996,Islami Oikya Jote,Md. Motahar Hossain Mamun,544,0.35,no
Comilla-1,1996,Jamaat,Md. A. Aziz Molla,544,0.54,no
Dhaka-9,2001,BKA,Md. Shahidul Alam Chowdhury,544,0.25,no
Comilla-7,1991,NAP (Muzaffar),Abdul Gaffar,545,0.58,no
Mymensingh-6,1996,Zaker Party,Md. Masiur Rahman Badal,545,0.51,no
Narsingdi-4,1996,Workers Party,Shamsuzzaman Milon,545,0.32,no
Gazipur-4,1996,Zaker Party,Abdul Kabir,546,0.46,no
Noakhali-2,2001,Independent,Lion Khurshid Alam Khasru,546,0.21,no
Comilla-6,1991,NAP (Muzaffar),Md. A. Zalil Bhuiyan,549,0.72,no
Dinajpur-3,1991,Zaker Party,M. A. Towab,550,0.46,no
