seat,year,party,turnout_pc
Barisal-3,1991,BNP,37.7
Barisal-4,1991,AL,37.7
Lakshmipur-1,1991,BNP,37.6
Patuakhali-1,1991,BNP,36.7
Noakhali-2,1991,BNP,35.0
Sylhet-4,1991,AL,35.0
Bhola-4,1991,AL,34.5
Noakhali-4,1991,BNP,33.3
Noakhali-1,1991,BNP,33.2
Bhola-2,1991,AL,30.2
Lakshmipur-2,1991,BNP,29.4
