filename,name_bn,zillaID,constituencyID,income,tax,wealth,party,final,symbol,district
"2,120,সরদার সরফুদ্দিন আহমেদ.txt",সরদার সরফুদ্দিন আহমেদ,2,120,,0.0,10363773.0,BNP,True,ধানের শীষ,Barisal
"3,116,মোহাম্মদ ফজলুল করিম.txt",মোহাম্মদ ফজলুল করিম,3,116,181532.0,175.0,1979915.0,Jamaat,True,দাঁড়িপাল্লা,Bhola
"4,125,রফিকুল ইসলাম জামাল.txt",রফিকুল ইসলাম জামাল,4,125,4971971.0,82680.0,46854516.0,BNP,True,ধানের শীষ,Jhalokati
"6,129,মোঃ মাশরেকুল আজম (রবি).txt",মোঃ মাশরেকুল আজম (রবি),6,129,875126.0,48769.0,12217051.0,JaPa,True,লাঙ্গল,Pirojpur
"8,291,আলহাজ্ব জসীম উদ্দীন আহমেদ.txt",আলহাজ্ব জসীম উদ্দীন আহমেদ,8,291,24245738.0,,405821013.0,BNP,True,ধানের শীষ,Chittagong
"9,296,লুৎফুর রহমান.txt",লুৎফুর রহমান,9,296,2235479.0,228207.0,75028504.0,BNP,True,ধানের শীষ,Cox's Bazar
"10,298,ধর্ম জ্যোতি চাকমা.txt",ধর্ম জ্যোতি চাকমা,10,298,320000.0,0.0,1490000.0,Independent,True,ঘোড়া,Khagrachari
"11,299,অশোক তালুকদার.txt",অশোক তালুকদার,11,299,340000.0,0.0,1571833.0,JaPa,True,লাঙ্গল,Rangamati
"12,248,মোহাম্মদ আবু কায়েস সিকদার.txt",মোহাম্মদ আবু কায়েস সিকদার,12,248,11311285.0,2504383.0,155857143.0,Independent,True,ফুটবল,Brahmanbaria
"13,263,মোঃ আবদুল হান্নান.txt",মোঃ আবদুল হান্নান,13,263,3745049.0,901891.0,425977258.0,Independent,True,চিংড়ি,Chandpur
"14,265,মুন্সী রফিকুল আলম.txt",মুন্সী রফিকুল আলম,14,265,,3278265.0,36696023.0,BNP,True,ধানের শীষ,Feni
"15,272,খাজা তানভীর আহমেদ.txt",খাজা তানভীর আহমেদ,15,272,641202.0,7444.0,24656500.0,JaPa,True,লাঙ্গল,Noakhali
"16,276,মোঃ শহীদউদ্দীন চৌধুরী এ্যানি.txt",মোঃ শহীদউদ্দীন চৌধুরী এ্যানি,16,276,4736054.0,986058.0,39031067.0,BNP,True,ধানের শীষ,Lakshmipur
"17,255,রেদোয়ান আহমেদ.txt",রেদোয়ান আহমেদ,17,255,49833536.0,2386650.0,88176990.0,BNP,True,ধানের শীষ,Comilla
"19,3,দেলাওয়ার হোসেন.txt",দেলাওয়ার হোসেন,19,3,807319.0,40822.0,4964319.0,Jamaat,True,দাঁড়িপাল্লা,Thakurgaon
"20,8,সৈয়দ জাহাঙ্গীর আলম.txt",সৈয়দ জাহাঙ্গীর আলম,20,8,354757.0,16992.0,13682186.0,BNP,True,ধানের শীষ,Dinajpur
"21,13,শাহরিন ইসলাম.txt",শাহরিন ইসলাম,21,13,450000.0,5000.0,39970695.0,BNP,True,ধানের শীষ,Nilphamari
"22,18,আসাদুল হাবিব দুলু.txt",আসাদুল হাবিব দুলু,22,18,20252026.0,4335016.0,167260453.0,BNP,True,ধানের শীষ,Lalmonirhat
"24,25,সাইফুর রহমান রানা.txt",সাইফুর রহমান রানা,24,25,509378.0,12032.0,71235702.0,BNP,True,ধানের শীষ,Kurigram
"25,30,মোঃ আব্দুর রশীদ সরকার.txt",মোঃ আব্দুর রশীদ সরকার,25,30,392000.0,3000.0,9952000.0,JaPa,True,লাঙ্গল,Gaibandha
"26,35,এস এম রাশেদুল আলম.txt",এস এম রাশেদুল আলম,26,35,424140.0,7121.0,6249140.0,Jamaat,True,দাঁড়িপাল্লা,Joypurhat
"27,40,মোঃ দবিবুর রহমান.txt",মোঃ দবিবুর রহমান,27,40,12579365.0,4098730.0,188228220.0,Jamaat,True,দাঁড়িপাল্লা,Bogra
"30,56,রেজাউল করিম.txt",রেজাউল করিম,30,56,,375868.0,65009169.0,Independent,True,ফুটবল,Rajshahi
"31,58,মোঃ তাইফুল ইসলাম টিপু.txt",মোঃ তাইফুল ইসলাম টিপু,31,58,36270156.0,,36845653.0,Independent,True,কলস,Natore
"32,67,এম, এ, মুহিত.txt",এম এ মুহিত,32,67,27921406.0,,213481238.0,BNP,True,ধানের শীষ,Sirajganj
"33,72,মোঃ ইকবাল হোসাইন.txt",মোঃ ইকবাল হোসাইন,33,72,563343.0,6154.0,5120890.0,Jamaat,True,দাঁড়িপাল্লা,Pabna
"34,74,মোঃ নাজমুল হুদা.txt",মোঃ নাজমুল হুদা,34,74,,3000.0,2596310.0,Jamaat,True,দাঁড়িপাল্লা,Meherpur
"35,76,রাগীব রউফ চৌধুরী.txt",রাগীব রউফ চৌধুরী,35,76,3037012.0,506768.0,9165827.0,BNP,True,ধানের শীষ,Kushtia
"36,80,মাহমুদ হাসান খান.txt",মাহমুদ হাসান খান,36,80,48377626.0,9440673.0,832023433.0,BNP,True,ধানের শীষ,Chuadanga
"37,81,মোঃ আসাদুজ্জামান.txt",মোঃ আসাদুজ্জামান,37,81,9480587.0,2763139.0,119359333.0,BNP,True,ধানের শীষ,Jhenaidah
"38,87,অনিন্দ্য ইসলাম অমিত.txt",অনিন্দ্য ইসলাম অমিত,38,87,9291997.0,2419868.0,90147086.0,BNP,True,ধানের শীষ,Jessore
"40,93,মোঃ ওবায়দুল্লাহ.txt",মোঃ ওবায়দুল্লাহ,40,93,400000.0,3000.0,3568000.0,Jamaat,True,দাঁড়িপাল্লা,Narail
"41,96,শেখ মনজুরুল হক (রাহাদ).txt",শেখ মনজুরুল হক (রাহাদ),41,96,,5150.0,1710000.0,Jamaat,True,দাঁড়িপাল্লা,Bagerhat
"42,100,শেখ জাহাঙ্গীর হুসাইন হেলাল.txt",শেখ জাহাঙ্গীর হুসাইন হেলাল,42,100,618734.0,40941.0,5190910.0,Jamaat,True,দাঁড়িপাল্লা,Khulna
"43,106,মোঃ আব্দুর রউফ.txt",মোঃ আব্দুর রউফ,43,106,2156333.0,312492.0,48618944.0,BNP,True,ধানের শীষ,Satkhira
