seat,swing_count
Sirajganj-4,3
Sirajganj-5,3
Sirajganj-6,3
Pabna-2,3
Pabna-3,3
Bagerhat-2,3
Khulna-3,3
Patuakhali-1,3
Tangail-2,3
Jamalpur-4,3
Sherpur-3,3
Mymensingh-9,3
Netrokona-1,3
Netrokona-4,3
Dhaka-4,3
Dhaka-5,3
Dhaka-6,3
Dhaka-9,3
Dhaka-10,3
Dhaka-11,3
Narsingdi-4,3
Narayanganj-1,3
Narayanganj-2,3
Narayanganj-4,3
Sylhet-1,3
Brahmanbaria-4,3
Brahmanbaria-6,3
Comilla-7,3
Comilla-10,3
Comilla-11,3
Chandpur-2,3
Chandpur-5,3
Chittagong-1,3
Chittagong-9,3
Cox's Bazar-4,3
Thakurgaon-1,2
Dinajpur-2,2
Dinajpur-4,2
Natore-4,2
Sirajganj-2,2
Jessore-1,2
Jessore-3,2
Jessore-5,2
Magura-2,2
Khulna-4,2
Satkhira-1,2
Patuakhali-2,2
Bhola-2,2
Barisal-1,2
Barisal-6,2
Tangail-4,2
Jamalpur-1,2
Jamalpur-2,2
Sherpur-2,2
Mymensingh-2,2
Mymensingh-8,2
Kishoreganj-4,2
Dhaka-8,2
Gazipur-3,2
Narayanganj-5,2
Rajbari-1,2
Rajbari-2,2
Sunamganj-1,2
Sunamganj-5,2
Sylhet-2,2
Moulvibazar-1,2
Comilla-5,2
Comilla-6,2
Comilla-9,2
Noakhali-5,2
Chittagong-2,2
Chittagong-3,2
Khagrachari,2
Rangamati,2
Panchagarh-1,1
Panchagarh-2,1
Dinajpur-3,1
Nilphamari-4,1
Gaibandha-4,1
Bogra-1,1
Bogra-5,1
Chapai Nawabganj-1,1
Chapai Nawabganj-3,1
Naogaon-2,1
Naogaon-3,1
Naogaon-6,1
Rajshahi-1,1
Rajshahi-3,1
Rajshahi-4,1
Rajshahi-5,1
Natore-2,1
Natore-3,1
Sirajganj-3,1
Pabna-4,1
Meherpur-1,1
Kushtia-1,1
Kushtia-3,1
Kushtia-4,1
Chuadanga-1,1
Chuadanga-2,1
Jhenaidah-2,1
Jhenaidah-3,1
Jhenaidah-4,1
Magura-1,1
Barguna-2,1
Bhola-1,1
Bhola-3,1
Bhola-4,1
Barisal-2,1
Jhalokati-1,1
Jhalokati-2,1
Pirojpur-3,1
Tangail-3,1
Tangail-5,1
Tangail-8,1
Jamalpur-5,1
Mymensingh-4,1
Mymensingh-5,1
Mymensingh-6,1
Mymensingh-7,1
Mymensingh-11,1
Netrokona-2,1
Netrokona-3,1
Kishoreganj-1,1
Kishoreganj-3,1
Kishoreganj-6,1
Manikganj-1,1
Manikganj-3,1
Munshiganj-1,1
Munshiganj-2,1
Dhaka-1,1
Dhaka-2,1
Dhaka-3,1
Dhaka-7,1
Dhaka-12,1
Gazipur-2,1
Gazipur-4,1
Narsingdi-1,1
Narsingdi-2,1
Narsingdi-3,1
Narsingdi-5,1
Faridpur-2,1
Faridpur-3,1
Sylhet-3,1
Sylhet-4,1
Moulvibazar-3,1
Brahmanbaria-3,1
Comilla-1,1
Comilla-4,1
Comilla-8,1
Chandpur-1,1
Chandpur-3,1
Feni-2,1
Noakhali-4,1
Chittagong-8,1
Chittagong-10,1
Chittagong-11,1
Chittagong-12,1
Thakurgaon-2,0
Thakurgaon-3,0
Dinajpur-1,0
Dinajpur-5,0
Dinajpur-6,0
Nilphamari-1,0
Nilphamari-2,0
Nilphamari-3,0
Lalmonirhat-1,0
Lalmonirhat-2,0
Lalmonirhat-3,0
Rangpur-1,0
Rangpur-2,0
Rangpur-3,0
Rangpur-4,0
Rangpur-5,0
Rangpur-6,0
Kurigram-1,0
Kurigram-2,0
Kurigram-3,0
Kurigram-4,0
Gaibandha-1,0
Gaibandha-2,0
Gaibandha-3,0
Gaibandha-5,0
Joypurhat-1,0
Joypurhat-2,0
Bogra-2,0
Bogra-3,0
Bogra-4,0
Bogra-6,0
Bogra-7,0
Chapai Nawabganj-2,0
Naogaon-1,0
Naogaon-4,0
Naogaon-5,0
Rajshahi-2,0
Rajshahi-6,0
Natore-1,0
Sirajganj-1,0
Pabna-1,0
Pabna-5,0
Meherpur-2,0
Kushtia-2,0
Jhenaidah-1,0
Jessore-2,0
Jessore-4,0
Jessore-6,0
Narail-1,0
Narail-2,0
Bagerhat-1,0
Bagerhat-3,0
Bagerhat-4,0
Khulna-1,0
Khulna-2,0
Khulna-5,0
Khulna-6,0
Satkhira-2,0
Satkhira-3,0
Satkhira-4,0
Barguna-1,0
Patuakhali-3,0
Patuakhali-4,0
Barisal-3,0
Barisal-4,0
Barisal-5,0
Pirojpur-1,0
Pirojpur-2,0
Tangail-1,0
Tangail-6,0
Tangail-7,0
Jamalpur-3,0
Sherpur-1,0
Mymensingh-1,0
Mymensingh-3,0
Mymensingh-10,0
Netrokona-5,0
Kishoreganj-2,0
Kishoreganj-5,0
Manikganj-2,0
Munshiganj-3,0
Dhaka-13,0
Dhaka-14,0
Dhaka-15,0
Dhaka-16,0
Dhaka-17,0
Dhaka-18,0
Dhaka-19,0
Dhaka-20,0
Gazipur-1,0
Gazipur-5,0
Narayanganj-3,0
Faridpur-1,0
Faridpur-4,0
Gopalganj-1,0
Gopalganj-2,0
Gopalganj-3,0
Madaripur-1,0
Madaripur-2,0
Madaripur-3,0
Shariatpur-1,0
Shariatpur-2,0
Shariatpur-3,0
Sunamganj-2,0
Sunamganj-3,0
Sunamganj-4,0
Sylhet-5,0
Sylhet-6,0
Moulvibazar-2,0
Moulvibazar-4,0
Habiganj-1,0
Habiganj-2,0
Habiganj-3,0
Habiganj-4,0
Brahmanbaria-1,0
Brahmanbaria-2,0
Brahmanbaria-5,0
Comilla-2,0
Comilla-3,0
Chandpur-4,0
Feni-1,0
Feni-3,0
Noakhali-1,0
Noakhali-2,0
Noakhali-3,0
Noakhali-6,0
Lakshmipur-1,0
Lakshmipur-2,0
Lakshmipur-3,0
Lakshmipur-4,0
Chittagong-4,0
Chittagong-5,0
Chittagong-6,0
Chittagong-7,0
Chittagong-13,0
Chittagong-14,0
Chittagong-15,0
Chittagong-16,0
Cox's Bazar-1,0
Cox's Bazar-2,0
Cox's Bazar-3,0
Bandarban,0
